ID,Symbole,Direction,Entree,SL,TP,Score,Timeframe,Validation,Raison validation,Statut,Raison rejet,Prix resultat,PnL%,PnL,Capital avant,Capital apres,RR,Classe actif,Parametres,Ouvert,Ferme
36737a34,XAUUSD,SELL,4023.75756,4048.2764364811624,3974.719807037675,75,1h,,,win,,,1.556,,,,,,,2026-06-29 13:45,2026-06-29 23:15
7100ad81,BTCUSD,SELL,59168.16,59804.41208777646,57895.65582444709,60,1h,,,loss,,,-1.2722,,,,,,,2026-06-28 21:07,2026-06-29 01:15
7cad8e91,XAUUSD,SELL,4080.86349,4083.0254254132674,4076.5396191734653,62,1h,,,win,,,0.1984,,,,,,,2026-06-28 10:53,2026-06-28 20:15
e21f639b,AUDUSD,BUY,0.68936,0.6888587402753319,0.690362519449336,68,1h,,,win,,,0.1509,,,,,,,2026-06-28 04:05,2026-06-28 19:45
12e5efe2,TSLA,BUY,379.19,370.33552808186414,396.8989438362717,60,1h,,,win,,,5.2981,,,,,,,2026-06-27 11:34,2026-06-29 15:45
9c5307da,XAUUSD,BUY,4067.01567,4036.279252138326,4128.488505723348,66,1h,,,loss,,,-0.8098,,,,,,,2026-06-26 18:19,2026-06-29 08:45
429f7e6e,XAUUSD,BUY,4032.28412,3999.1210813278317,4086.8822084374665,65,1h,,,win,,,1.4303,,,,,,,2026-06-26 06:57,2026-06-26 14:00
85c6069f,USDJPY,SELL,161.59131,161.76213965555408,161.24965068889182,75,1h,,,loss,,,-0.1141,,,,,,,2026-06-26 06:57,2026-06-26 16:00
99d0d179,NVDA,SELL,195.74001,199.8584108892337,187.50320822153265,69,1h,,,loss,,,-2.2632,,,,,,,2026-06-25 23:25,2026-06-30 20:00
5c990d94,XAUUSD,BUY,4027.36166,3994.7603998871427,4092.564180225715,61,1h,,,loss,,,-0.8969,,,,,,,2026-06-25 21:24,2026-06-26 01:00
30a765da,BTCUSD,SELL,60935.47,61978.13166886368,59129.90133358442,61,1h,,,win,,,4.5213,,,,,,,2026-06-24 19:56,2026-06-25 12:00
809f4b90,ETHUSD,SELL,1615.96,1653.1238720787348,1557.047299666141,59,1h,,,loss,,,-2.3157,,,,,,,2026-06-24 19:56,2026-06-25 05:15
147fadc9,XAUUSD,SELL,3985.26243,4029.3865471215036,3897.0141957569936,60,1h,,,loss,,,-1.3663,,,,,,,2026-06-24 15:43,2026-06-25 14:00
e46a6da3,EURUSD,SELL,1.13432,1.136336632736513,1.1302867345269743,80,1h,,,loss,,,-0.1887,,,,,,,2026-06-24 14:36,2026-06-25 02:30
646e1ad5,GBPUSD,SELL,1.31551,1.318361476275645,1.3098070474487096,80,1h,,,loss,,,-0.2318,,,,,,,2026-06-24 14:35,2026-06-25 04:30
b20ad7f1,ETHUSD,SELL,1654.83,1678.8270788539267,1606.8358422921467,60,1h,,,win,,,3.5732,,,,,,,2026-06-24 12:37,2026-06-24 15:15
55e89ff1,USDJPY,BUY,161.73598,161.5922949065867,161.99089884646705,77,1h,,,loss,,,-0.0974,,,,,,,2026-06-24 12:37,2026-06-26 02:30
a5932b43,EURUSD,SELL,1.14239,1.143970346364107,1.1392293072717858,92,1h,,,win,,,0.3151,,,,,,,2026-06-23 01:13,2026-06-23 12:15
bcbb56d8,AUDUSD,SELL,0.7001,0.701386393642355,0.69752721271529,77,1h,,,win,,,0.4228,,,,,,,2026-06-22 11:07,2026-06-23 03:15
6414b78b,EURUSD,SELL,1.14543,1.1470998114028683,1.1420903771942632,85,1h,,,win,,,0.2942,,,,,,,2026-06-22 11:06,2026-06-23 05:00
371f4699,USDJPY,BUY,161.74601,161.58461152225678,162.06880695548645,82,1h,,,loss,,,-0.3428,,,,,,,2026-06-22 09:08,2026-06-22 13:08
4d1b5b61,XAUUSD,BUY,4205.74847,4186.47158578809,4244.30223842382,70,1h,,,loss,,,-0.472,,,,,,,2026-06-22 09:08,2026-06-22 13:38
b3800be2,ETHUSD,BUY,1747.76,1729.8104851966882,1783.6590296066238,58,1h,,,loss,,,-1.3492,,,,,,,2026-06-22 09:07,2026-06-22 20:45
e17e4efe,USDJPY,SELL,161.28868,161.3687759134423,161.1284881731154,77,1h,,,loss,,,-0.0919,,,,,,,2026-06-20 14:06,2026-06-21 16:53
a5d6218f,ETHUSD,BUY,1737.3,1716.981057158806,1777.9378856823882,58,1h,,,loss,,,-1.3751,,,,,,,2026-06-20 14:06,2026-06-21 19:38
4394ee90,BTCUSD,BUY,63947.14,63352.103425391804,65137.2131492164,70,1h,,,loss,,,-0.997,,,,,,,2026-06-20 14:06,2026-06-21 21:38
f0287393,USDJPY,SELL,161.26343,161.52451388780653,160.7412622243869,67,1h,,,loss,,,-0.1788,,,,,,,2026-06-19 07:49,2026-06-22 00:08
867c9e21,ETHUSD,BUY,1747.29,1719.1372374797274,1801.413344104771,59,1h,,,loss,,,-1.6156,,,,,,,2026-06-18 07:46,2026-06-18 13:38
1bbb4da5,USDJPY,BUY,160.74708,160.53971070129026,161.16181859741954,87,1h,,,win,,,0.3922,,,,,,,2026-06-18 07:46,2026-06-18 14:23
